"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US06001","Alameda County, California","593117","1676","4.0","0.2","2.7","0.2","4.1","0.2","3.9","0.2","6.3","0.2","10.0","0.3","9.5","0.3","16.5","0.3","12.2","0.3","30.7","0.4","126240","1364","171948","1292","34.1","(X)","(X)","(X)","(X)","(X)","388651","2493","1.9","0.2","1.1","0.1","2.6","0.2","3.1","0.3","5.5","0.3","8.8","0.4","8.9","0.3","16.4","0.4","13.2","0.4","38.3","0.5","155116","1923","201227","1731","(X)","(X)","35.8","(X)","(X)","(X)","295722","2769","1.0","0.1","0.6","0.1","1.8","0.2","1.8","0.2","4.0","0.3","6.9","0.3","7.7","0.4","15.6","0.5","14.4","0.4","46.3","0.7","185730","3097","229758","2231","(X)","(X)","(X)","(X)","(X)","(X)","204466","2529","8.4","0.6","6.1","0.5","7.3","0.5","6.0","0.4","8.2","0.5","12.9","0.7","11.1","0.6","16.2","0.5","9.6","0.5","14.2","0.5","77104","1604","108044","1892","(X)","(X)","(X)","(X)","29.4","(X)",
"0500000US06003","Alpine County, California","473","103","2.3","2.3","2.1","1.9","4.0","2.9","8.2","6.0","5.5","5.2","13.5","5.0","5.7","3.6","30.2","9.7","14.2","7.5","14.2","7.0","110781","18601","162949","58051","38.1","(X)","(X)","(X)","(X)","(X)","345","90","2.9","3.1","0.9","1.3","2.6","2.9","1.4","1.8","5.5","6.7","12.5","5.3","6.4","4.6","38.6","13.2","15.1","8.9","14.2","9.5","119659","39441","186330","81046","(X)","(X)","37.4","(X)","(X)","(X)","285","91","2.8","3.6","0.0","13.8","2.1","2.8","0.0","13.8","4.9","8.0","8.8","5.2","7.4","5.8","44.2","15.7","13.3","9.4","16.5","11.2","129250","36990","N","N","(X)","(X)","(X)","(X)","(X)","(X)","128","49","0.8","1.8","7.0","6.5","7.8","7.9","26.6","18.7","4.7","6.0","18.0","14.0","2.3","4.5","7.8","10.2","11.7","14.5","13.3","13.4","53500","29626","97570","31654","(X)","(X)","(X)","(X)","39.1","(X)",
"0500000US06005","Amador County, California","16066","341","5.9","1.9","3.3","1.4","3.9","1.2","6.1","1.5","9.3","2.1","17.5","2.7","14.5","2.3","18.2","2.7","11.4","2.5","9.9","2.1","81526","7398","104990","6492","39.3","(X)","(X)","(X)","(X)","(X)","10667","534","2.3","0.9","1.0","0.6","1.0","0.5","2.5","1.1","9.3","2.8","17.8","3.2","14.9","2.7","21.8","3.2","15.7","3.7","13.6","2.9","101722","7923","125711","7619","(X)","(X)","38.1","(X)","(X)","(X)","8596","512","1.4","0.7","0.7","0.5","0.9","0.6","1.8","0.9","7.7","2.7","17.5","3.4","13.6","2.7","22.8","3.6","17.7","4.5","16.0","3.6","111370","10837","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5399","516","13.9","4.8","8.2","3.7","9.5","3.4","13.6","3.9","11.8","4.4","17.0","5.7","11.7","3.8","9.4","3.5","2.7","1.4","2.2","1.4","42918","7009","58973","8181","(X)","(X)","(X)","(X)","40.8","(X)",
"0500000US06007","Butte County, California","82345","797","6.0","0.7","4.0","0.4","8.5","1.0","8.6","0.9","11.3","0.9","15.3","0.9","12.2","1.0","15.7","0.9","7.8","0.8","10.6","0.8","68574","2351","96124","2745","41.4","(X)","(X)","(X)","(X)","(X)","48675","1197","3.4","0.8","2.2","0.5","6.2","1.2","5.8","0.8","9.4","1.1","15.0","1.3","13.2","1.2","19.2","1.3","11.0","1.1","14.6","1.3","90047","3396","117837","4373","(X)","(X)","42.1","(X)","(X)","(X)","34436","1116","2.0","0.9","0.8","0.3","2.6","0.6","4.4","0.8","7.4","1.1","13.9","1.5","13.3","1.3","23.0","1.8","13.7","1.5","19.0","1.8","109550","4706","137300","5419","(X)","(X)","(X)","(X)","(X)","(X)","33670","1173","10.5","1.5","7.2","0.8","12.7","1.4","14.0","1.8","14.4","1.3","16.0","1.6","9.9","1.4","9.1","1.2","2.8","0.7","3.2","0.8","40409","2076","58001","2671","(X)","(X)","(X)","(X)","38.2","(X)",
"0500000US06009","Calaveras County, California","17897","567","5.0","1.1","3.1","1.1","5.7","1.7","7.9","1.6","8.7","1.8","16.4","2.4","14.2","2.0","17.3","2.3","8.5","1.8","13.0","2.2","79877","4638","103128","5615","37.8","(X)","(X)","(X)","(X)","(X)","12801","696","3.2","1.2","1.5","0.7","2.9","1.3","6.0","1.8","10.0","2.3","14.8","2.8","13.6","2.5","21.3","3.0","11.1","2.5","15.3","2.8","93976","8356","116339","6734","(X)","(X)","37.4","(X)","(X)","(X)","10460","650","2.2","1.1","0.8","0.6","2.2","1.3","4.9","1.6","6.9","2.0","15.6","3.3","13.1","3.0","24.1","3.5","13.2","3.1","17.0","3.1","104267","8645","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5096","574","10.0","3.3","7.7","2.9","12.9","4.2","14.1","3.3","11.2","4.0","17.5","4.6","12.0","3.5","6.7","2.7","1.9","1.6","6.0","3.4","42230","7547","62950","9040","(X)","(X)","(X)","(X)","36.0","(X)",
"0500000US06011","Colusa County, California","7466","230","5.6","1.9","3.7","2.0","8.8","2.5","7.2","2.2","9.9","5.0","14.7","2.9","16.3","3.2","16.0","3.1","8.3","2.2","9.4","2.4","75149","8491","93585","7190","35.0","(X)","(X)","(X)","(X)","(X)","5106","302","3.1","1.9","1.4","1.1","5.4","2.3","6.0","2.5","10.0","3.1","13.4","3.0","17.5","3.9","21.1","4.0","10.0","2.7","12.1","3.5","89214","7137","110132","9695","(X)","(X)","37.7","(X)","(X)","(X)","3862","319","0.7","0.6","1.2","1.4","4.1","2.7","2.8","1.8","7.1","3.1","14.6","3.7","19.0","4.8","22.2","4.8","12.6","3.6","15.7","4.5","100662","9415","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2360","306","11.0","4.5","8.8","5.6","18.5","7.3","11.2","5.1","9.5","17.0","16.1","7.8","13.7","5.6","6.2","3.4","3.9","3.0","1.1","1.2","35667","11431","50860","6480","(X)","(X)","(X)","(X)","27.3","(X)",
"0500000US06013","Contra Costa County, California","411662","1106","3.3","0.3","2.2","0.2","3.3","0.2","3.8","0.3","6.3","0.3","10.7","0.3","10.3","0.4","17.9","0.5","13.6","0.4","28.5","0.5","125727","1829","172107","2007","38.0","(X)","(X)","(X)","(X)","(X)","293999","2622","2.4","0.3","1.0","0.2","2.2","0.3","2.9","0.3","5.3","0.3","9.2","0.4","10.0","0.5","18.3","0.6","14.6","0.6","34.2","0.7","146002","2285","193231","2397","(X)","(X)","38.8","(X)","(X)","(X)","222817","3074","1.0","0.2","0.6","0.1","1.5","0.2","1.7","0.3","3.9","0.3","7.2","0.4","8.7","0.4","18.0","0.7","15.8","0.7","41.6","0.8","171096","2416","221154","3069","(X)","(X)","(X)","(X)","(X)","(X)","117663","2480","6.8","0.6","5.3","0.7","6.7","0.7","7.0","0.8","9.8","0.8","14.8","0.8","11.8","0.9","16.4","1.0","10.0","0.8","11.3","0.8","74035","2595","107958","4972","(X)","(X)","(X)","(X)","33.1","(X)",
"0500000US06015","Del Norte County, California","9621","256","3.2","1.1","6.7","2.3","8.9","2.2","7.9","2.0","10.5","2.5","17.0","3.1","11.5","2.3","17.4","2.9","12.1","2.6","4.8","1.7","66780","6256","86246","4743","43.3","(X)","(X)","(X)","(X)","(X)","6453","351","1.5","1.1","2.1","1.8","5.4","1.8","9.4","3.0","8.2","2.3","17.5","3.8","13.5","2.8","22.6","3.6","14.0","3.1","5.8","2.3","84188","4773","97774","5330","(X)","(X)","45.0","(X)","(X)","(X)","4677","370","0.7","0.7","0.7","0.6","3.5","2.0","5.6","2.8","7.3","2.6","16.3","5.0","12.7","3.5","28.8","4.5","16.9","4.1","7.4","3.2","101680","6871","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3168","322","8.3","3.1","16.2","5.6","17.6","5.8","8.2","3.0","13.7","4.8","13.4","3.9","7.2","3.0","6.2","3.7","6.6","3.9","2.6","2.1","34360","10791","57141","9802","(X)","(X)","(X)","(X)","35.3","(X)",
"0500000US06017","El Dorado County, California","75719","788","3.5","0.6","2.0","0.4","5.6","0.7","4.9","0.7","7.0","0.6","12.9","1.0","11.5","0.9","19.7","1.2","11.3","1.0","21.7","1.2","106190","3811","145804","4938","35.5","(X)","(X)","(X)","(X)","(X)","53032","1178","2.0","0.6","0.7","0.3","2.6","0.6","3.5","0.8","5.3","0.7","11.6","1.2","11.1","1.0","21.7","1.3","14.6","1.3","26.9","1.7","128943","3483","169932","6019","(X)","(X)","35.4","(X)","(X)","(X)","43822","1201","1.0","0.4","0.5","0.2","1.8","0.5","2.1","0.7","4.2","0.6","10.1","1.2","11.3","1.2","22.6","1.5","15.9","1.4","30.4","1.9","140504","4440","184164","7250","(X)","(X)","(X)","(X)","(X)","(X)","22687","1207","7.7","1.4","5.3","1.1","13.1","1.9","8.6","1.4","11.7","1.7","16.6","1.8","10.7","1.6","14.7","1.9","3.9","1.1","7.7","1.4","54957","4218","83117","5302","(X)","(X)","(X)","(X)","34.2","(X)",
