county,all_hh,served_hh_25_3,unserved_hh_25_3,households_offered,consumer_connections,adoption_rate,median_income,poverty_pct,unserved_share,adoption_gap,under_18,18_or_over,65_or_over,black,white,hispanic,asian,am_indian_alask_nat,two_or_more,other,GEO_ID
Alameda,"697,354","696,029",139,"696,029","543,782",78.13%,593117,9.2,0.019932488,"152,247",20,80,14.9,9.9,32,23.3,32.2,0.9,11.3,12.9,0500000US06001
Alpine,"1,577",498,501,498,380,76.31%,473,12.3,31.76918199,118,22.6,77.4,21.8,0,63.5,14.7,0.5,27,7.7,1.3,0500000US06003
Amador,"22,516","20,670",682,"20,670","9,770",47.27%,16066,7.8,3.028957186,"10,900",15.5,84.5,27.2,2,77.8,15.5,1.4,1.2,12.3,5.3,0500000US06005
Butte,"104,132","100,696",187,"100,696","69,014",68.54%,82345,18.3,0.179579764,"31,682",20.5,79.5,18.2,1.8,72.6,19.5,5.4,1.2,12.1,6.6,0500000US06007
Calaveras,"32,007","30,275",259,"30,275","18,071",59.69%,17897,13.4,0.809197988,"12,204",16.9,83.1,28.7,1.2,80.8,13.9,2.3,1.5,11.2,3,0500000US06009
Colusa,"10,370","9,566",61,"9,566","4,176",43.65%,7466,10.8,0.588235294,"5,390",27.3,72.7,15.3,1.4,51.2,62.3,0.7,1.4,19.9,25.4,0500000US06011
Contra Costa,"467,745","465,219",94,"465,219","386,320",83.04%,411662,8.3,0.02009642,"78,899",22.2,77.8,16.7,8.5,43.5,27.3,18.5,0.9,14.5,13.7,0500000US06013
Del Norte,"12,948","11,128",492,"11,128","8,605",77.33%,9621,11.6,3.799814643,"2,523",21,79,19.8,2.9,67.1,19.6,3.1,7,11.1,8.3,0500000US06015
El Dorado,"105,485","100,622",686,"100,622","63,245",62.85%,75719,8.3,0.650329431,"37,377",19.7,80.3,22.8,0.9,79.9,14.2,5.2,0.6,9.2,4.1,0500000US06017
Fresno,"386,651","384,950",657,"384,950","267,584",69.51%,322163,18.7,0.169920678,"117,366",28,72,12.7,4.4,41.8,54.1,11,1.4,20.9,20.3,0500000US06019
Glenn,"13,512","13,072",14,"13,072","6,296",48.16%,9763,12.4,0.103611604,"6,776",26.2,73.8,16.8,0.6,59.8,44.1,2.7,1.5,14.5,20.9,0500000US06021
Humboldt,"72,545","70,920",326,"70,920","41,090",57.94%,54878,18.9,0.449376249,"29,830",19,81,19.3,1.3,73.6,13.8,3.1,3.8,12.1,5.8,0500000US06023
Imperial,"66,512","63,798",599,"63,798","41,748",65.44%,48844,19.6,0.900589367,"22,050",28.5,71.5,13.5,2.5,30.4,85.6,1.5,1.6,26.2,37.8,0500000US06025
Inyo,"12,379","10,194",153,"10,194","4,994",48.99%,7923,10.5,1.235964133,"5,200",20.3,79.7,24.4,1,64.6,23.8,1.8,10.4,14.6,6.7,0500000US06027
Kern,"341,932","334,444",479,"334,444","246,489",73.70%,281416,19,0.140086333,"87,955",28.8,71.2,11.6,5.2,49.2,55.7,5.1,1.2,21.3,17.9,0500000US06029
Kings,"51,766","51,688",5,"51,688","34,215",66.20%,43736,16.8,0.009658849,"17,473",27.1,72.9,10.6,6.4,46,57.5,3.5,1.9,20.3,21.6,0500000US06031
Lake,"38,051","35,357",666,"35,357","16,840",47.63%,26364,16.7,1.750282516,"18,517",21.8,78.2,23.6,2.2,69.2,23.8,1.1,2.8,11.7,12.7,0500000US06033
Lassen,"13,896","11,593",642,"11,593","3,725",32.13%,9060,13.7,4.620034542,"7,868",17.9,82.1,16,8.3,68.9,22.5,1.7,2.7,14,3.5,0500000US06035
Los Angeles,"3,992,840","3,882,638","18,766","3,882,638","3,130,009",80.62%,3390254,13.6,0.469991284,"752,629",20.9,79.1,14.7,7.8,35.4,48.3,15,1.3,16.7,23.6,0500000US06037
Madera,"59,043","58,110",348,"58,110","33,763",58.10%,44513,19.9,0.589400945,"24,347",27.4,72.6,14.4,2.6,44.1,60.4,2.5,1.9,18.4,30.3,0500000US06039
Marin,"128,776","127,566",155,"127,566","94,724",74.25%,103201,7.8,0.120364043,"32,842",19.7,80.3,23.3,2.3,70.4,19,6.2,0.6,10.7,9.6,0500000US06041
Mariposa,"11,225","7,036","1,339","7,036",632,8.98%,7515,13.9,11.92873051,"6,404",16.8,83.2,29.4,1.3,79.7,13.7,1.6,1.8,10,5.5,0500000US06043
Mendocino,"52,435","45,209","1,599","45,209","21,317",47.15%,34570,15.2,3.049489845,"23,892",21.1,78.9,24.1,0.9,68.3,26.9,2.2,3.5,16.8,8.1,0500000US06045
Merced,"102,766","102,704",0,"102,704","67,037",65.27%,84605,18.4,0,"35,667",29.1,70.9,11.6,2.9,36,62.7,7.1,1.4,12.3,39.9,0500000US06047
Modoc,"5,836","4,723",477,"4,723","1,161",24.58%,3264,20.3,8.173406443,"3,562",19.2,80.8,31,0.8,80.7,15.3,1.2,2.5,9.2,5.7,0500000US06049
Mono,"11,434","9,310",447,"9,310","9,079",97.52%,5521,11,3.909393038,231,18.4,81.6,16.4,0.1,74.1,26.7,2.2,1.6,16,6,0500000US06051
Monterey,"163,659","162,513",33,"162,513","114,079",70.20%,132046,12.6,0.020163877,"48,434",26,74,14.5,2.2,36.5,61,5.8,0.8,13.5,40.7,0500000US06053
Napa,"63,128","61,146",221,"61,146","44,315",72.47%,49663,8.4,0.350082372,"16,831",19.9,80.1,20.6,1.9,60.1,35.9,8,0.9,14,14.8,0500000US06055
Nevada,"60,605","56,854",588,"56,854","35,123",61.78%,41873,10.6,0.970216979,"21,731",17.1,82.9,28.9,0.3,85.7,10.5,1.8,0.5,9.3,2.3,0500000US06057
Orange,"1,294,221","1,258,242","4,530","1,258,242","1,029,412",81.81%,1074654,9.5,0.350017501,"228,830",21.3,78.7,15.8,1.6,46.4,34.1,21.9,0.8,14.9,14.1,0500000US06059
Placer,"199,726","197,229",260,"197,229","131,772",66.81%,155422,6.7,0.130178344,"65,457",22,78,20.2,1.7,72.5,15.4,9,0.5,12.2,4,0500000US06061
Plumas,"17,402","14,898",508,"14,898","5,531",37.13%,8055,10.7,2.919204689,"9,367",17.5,82.5,29.8,1.4,87.1,10,0.9,1.7,7.6,1.1,0500000US06063
Riverside,"967,930","924,083","3,097","924,083","760,446",82.29%,762234,11.1,0.319961154,"163,637",24.4,75.6,15.1,6.5,42.2,50.6,7,1.2,18.5,24.3,0500000US06065
Sacramento,"650,489","649,643",0,"649,643","493,361",75.94%,568223,12.6,0,"156,282",23.1,76.9,14.9,9.5,47.2,24,17.5,0.9,13.5,10.3,0500000US06067
San Benito,"23,881","23,477",41,"23,477","17,086",72.78%,20188,7.8,0.171684603,"6,391",25.5,74.5,13.5,1,45.1,61.7,3.5,1.9,32.6,15.6,0500000US06069
San Bernardino,"829,701","787,220","1,742","787,220","636,218",80.82%,668004,13.6,0.209955153,"151,002",25.8,74.2,12.3,8,39.1,54.6,8.1,1.3,18.6,24.5,0500000US06071
San Diego,"1,363,243","1,330,525","6,680","1,330,525","1,110,401",83.46%,1159822,10.4,0.490008018,"220,124",21.1,78.9,15,4.7,53,34.3,12.2,0.9,18.1,10.6,0500000US06073
San Francisco,"460,388","460,342",0,"460,342","301,989",65.60%,362650,10.6,0,"158,353",13.7,86.3,17.2,5.1,40.5,15.9,35,0.7,10.7,7.7,0500000US06075
San Joaquin,"281,139","281,111",0,"281,111","217,128",77.24%,241373,12.6,0,"63,983",26.5,73.5,13.3,7,37.1,42.2,17.9,1.2,19.8,16.5,0500000US06077
San Luis Obispo,"140,890","135,691",507,"135,691","95,565",70.43%,108897,12.8,0.359855206,"40,126",17.6,82.4,21.6,1.1,72.4,24.5,3.7,0.9,15,6.7,0500000US06079
San Mateo,"310,374","308,419",310,"308,419","256,364",83.12%,264424,6.5,0.0998795,"52,055",19.9,80.1,17.3,2.2,40.7,24.9,30.8,1.1,12.5,11.6,0500000US06081
Santa Barbara,"180,818","170,529",759,"170,529","135,331",79.36%,148960,13.8,0.419759095,"35,198",22.4,77.6,16.2,1.7,54.3,47.6,5.3,1.8,23.2,13.6,0500000US06083
Santa Clara,"763,137","759,092",687,"759,092","612,721",80.72%,654467,6.9,0.090023154,"146,371",21,79,14.4,2.4,33.2,25.1,39.5,0.8,13.2,10.6,0500000US06085
Santa Cruz,"119,026","117,050",345,"117,050","86,567",73.96%,96873,11.2,0.289852637,"30,483",18.8,81.2,18.3,1,62.8,35,4.7,1,13.7,16.6,0500000US06087
Shasta,"92,097","87,078",949,"87,078","52,604",60.41%,71473,13,1.030435302,"34,474",21.7,78.3,21.2,0.9,80.2,11.3,3.4,1.7,10.9,2.7,0500000US06089
Sierra,"2,514","1,332",442,"1,332",450,33.78%,1206,12.3,17.58154336,882,12.8,87.2,34.5,0.3,90.4,9.6,0,1.4,3.3,4.7,0500000US06091
Siskiyou,"28,260","24,123","1,840","24,123","9,200",38.14%,18907,16.6,6.510969568,"14,923",20.1,79.9,27.2,1.7,79.4,13.1,1.6,3.2,11.2,2.5,0500000US06093
Solano,"180,475","179,464",126,"179,464","141,373",78.78%,155800,9.7,0.069815764,"38,091",22.1,77.9,16.9,12.9,42.7,29,15.9,0.8,14.5,12.3,0500000US06095
Sonoma,"236,567","228,169",852,"228,169","168,233",73.73%,190498,8.6,0.36015167,"59,936",19.3,80.7,21,1.6,64.5,29.4,4.4,1.3,13.7,14.1,0500000US06097
Stanislaus,"205,087","204,923",21,"204,923","150,106",73.25%,176457,13.1,0.010239557,"54,817",26.9,73.1,13.6,2.8,50.1,49.2,6,1.2,24.4,14.9,0500000US06099
Sutter,"41,569","41,548",0,"41,548","28,122",67.69%,33240,14.8,0,"13,426",25.4,74.6,16.1,1.7,50.3,32.4,17.5,1.6,15.8,12.7,0500000US06101
Tehama,"31,037","29,631",264,"29,631","13,519",45.62%,24526,15.4,0.850597674,"16,112",24.1,75.9,20,0.9,69.3,28.2,1.8,1.9,15.7,10.3,0500000US06103
Trinity,"9,353","7,297",225,"7,297","1,840",25.22%,5373,18,2.405645248,"5,457",18.3,81.7,29.3,0.9,80.5,5.9,2.4,2.2,8.2,5.3,0500000US06105
Tulare,"172,181","169,219",327,"169,219","109,424",64.66%,142026,17.8,0.189916425,"59,795",30.1,69.9,11.7,1.5,42.6,66.1,3.5,1.5,21.3,29.3,0500000US06107
Tuolumne,"34,738","31,785",132,"31,785","16,527",52.00%,22809,10.7,0.379987334,"15,258",17.2,82.8,27.7,1.7,82.6,13.2,1.3,1.8,8.7,3.4,0500000US06109
Ventura,"327,087","310,831","2,355","310,831","259,855",83.60%,278045,9,0.719991929,"50,976",22.2,77.8,16.9,1.8,58.6,43.8,7.2,1.5,20.9,9.8,0500000US06111
Yolo,"92,225","92,207",0,"92,207","63,280",68.63%,76640,16.3,0,"28,927",20.5,79.5,13.3,2.7,54.8,33.2,14.9,0.9,16.1,10.1,0500000US06113
Yuba,"33,609","32,238",104,"32,238","21,995",68.23%,28063,15.3,0.309440924,"10,243",27.3,72.7,13.1,3.7,60.5,30,7.7,1.6,17.3,9,0500000US06115
