dataset,column
timely,facility_id
timely,facility_name
timely,address
timely,city_town
timely,state
timely,zip_code
timely,county_parish
timely,telephone_number
timely,condition
timely,measure_id
timely,measure_name
timely,score
timely,sample
timely,footnote
timely,start_date
timely,end_date
general,facility_id
general,facility_name
general,address
general,city_town
general,state
general,zip_code
general,county_parish
general,telephone_number
general,hospital_type
general,hospital_ownership
general,emergency_services
general,meets_criteria_for_birthing_friendly_designation
general,hospital_overall_rating
general,hospital_overall_rating_footnote
general,mort_group_measure_count
general,count_of_facility_mort_measures
general,count_of_mort_measures_better
general,count_of_mort_measures_no_different
general,count_of_mort_measures_worse
general,mort_group_footnote
general,safety_group_measure_count
general,count_of_facility_safety_measures
general,count_of_safety_measures_better
general,count_of_safety_measures_no_different
general,count_of_safety_measures_worse
general,safety_group_footnote
general,readm_group_measure_count
general,count_of_facility_readm_measures
general,count_of_readm_measures_better
general,count_of_readm_measures_no_different
general,count_of_readm_measures_worse
general,readm_group_footnote
general,pt_exp_group_measure_count
general,count_of_facility_pt_exp_measures
general,pt_exp_group_footnote
general,te_group_measure_count
general,count_of_facility_te_measures
general,te_group_footnote
