dataset,variable,n,missing_n,missing_pct
timely,sample,138173,83614,60.513993327205746
timely,score,138173,80469,58.23786123193388
timely,footnote,138173,45856,33.18738103681616
timely,address,138173,0,0
timely,city_town,138173,0,0
timely,condition,138173,0,0
timely,county_parish,138173,0,0
timely,end_date,138173,0,0
timely,facility_id,138173,0,0
timely,facility_name,138173,0,0
timely,measure_id,138173,0,0
timely,measure_name,138173,0,0
timely,start_date,138173,0,0
timely,state,138173,0,0
timely,telephone_number,138173,0,0
timely,zip_code,138173,0,0
general,te_group_footnote,5432,4422,81.40648011782032
general,readm_group_footnote,5432,4208,77.46686303387334
general,mort_group_footnote,5432,4032,74.22680412371135
general,pt_exp_group_footnote,5432,3414,62.84977908689249
general,safety_group_footnote,5432,3280,60.382916053019144
general,meets_criteria_for_birthing_friendly_designation,5432,3169,58.33946980854197
general,hospital_overall_rating_footnote,5432,3111,57.27172312223858
general,hospital_overall_rating,5432,2250,41.42120765832106
general,count_of_facility_safety_measures,5432,2078,38.25478645066274
general,count_of_safety_measures_better,5432,2078,38.25478645066274
general,count_of_safety_measures_no_different,5432,2078,38.25478645066274
general,count_of_safety_measures_worse,5432,2078,38.25478645066274
general,count_of_facility_pt_exp_measures,5432,1957,36.02724594992636
general,count_of_facility_mort_measures,5432,1327,24.429307805596466
general,count_of_mort_measures_better,5432,1327,24.429307805596466
general,count_of_mort_measures_no_different,5432,1327,24.429307805596466
general,count_of_mort_measures_worse,5432,1327,24.429307805596466
general,count_of_facility_readm_measures,5432,1156,21.281296023564064
general,count_of_readm_measures_better,5432,1156,21.281296023564064
general,count_of_readm_measures_no_different,5432,1156,21.281296023564064
general,count_of_readm_measures_worse,5432,1156,21.281296023564064
general,count_of_facility_te_measures,5432,921,16.955081001472752
general,mort_group_measure_count,5432,854,15.721649484536082
general,pt_exp_group_measure_count,5432,854,15.721649484536082
general,readm_group_measure_count,5432,854,15.721649484536082
general,safety_group_measure_count,5432,854,15.721649484536082
general,te_group_measure_count,5432,854,15.721649484536082
general,address,5432,0,0
general,city_town,5432,0,0
general,county_parish,5432,0,0
general,emergency_services,5432,0,0
general,facility_id,5432,0,0
general,facility_name,5432,0,0
general,hospital_ownership,5432,0,0
general,hospital_type,5432,0,0
general,state,5432,0,0
general,telephone_number,5432,0,0
general,zip_code,5432,0,0
