state,hospitals,observed_mean,state_deviation,pooled_mean,shrinkage_minutes,absolute_shrinkage
ND,43,114.30232558139535,-46.13300232382195,115.91296482510984,1.6106392437144876,1.6106392437144876
SD,47,114.53191489361703,-46.04335226156382,116.00261488736797,1.4706999937509408,1.4706999937509408
NE,73,119,-42.178558230461405,119.86740891847039,0.8674089184703888,0.8674089184703888
HI,15,121.26666666666667,-37.06926759605342,124.97669955287837,3.7100328862117067,3.7100328862117067
OK,86,123.82558139534883,-37.564639546082454,124.48132760284935,0.6557462075005134,0.6557462075005134
KS,91,125.27472527472527,-36.17445992785158,125.87150722108021,0.5967819463549375,0.5967819463549375
MT,39,126.15384615384616,-34.561710583365574,127.48425656556623,1.3304104117200666,1.3304104117200666
WY,18,129.05555555555554,-30.450724899757116,131.59524224917467,2.5396866936191316,2.5396866936191316
IA,97,129.2577319587629,-32.28850995352091,129.7574571954109,0.49972523664800406,0.49972523664800406
ID,31,132.25806451612902,-28.411977567920353,133.63398958101143,1.3759250648824093,1.3759250648824093
UT,39,133.76923076923077,-27.228604827537502,134.81736232139428,1.048131552163511,1.048131552163511
AK,15,134.4,-25.130783070718604,136.9151840782132,2.5151840782131956,2.5151840782131956
MN,106,136.10377358490567,-25.579910388066406,136.4660567608654,0.3622831759597318,0.3622831759597318
MS,64,136.109375,-25.342138096412324,136.70382905251947,0.5944540525194668,0.5944540525194668
LA,85,136.1529411764706,-25.443644252725516,136.6023228962063,0.4493817197356975,0.4493817197356975
AR,64,136.359375,-25.09786797458121,136.94809917435057,0.588724174350574,0.588724174350574
WI,107,137.6448598130841,-24.063486081482292,137.9824810674495,0.3376212543653878,0.3376212543653878
CO,66,139.6818181818182,-21.866760707722587,140.1792064412092,0.49738825939101616,0.49738825939101616
WV,37,146.05405405405406,-15.368349823991496,146.6776173249403,0.6235632708862227,0.6235632708862227
TX,283,147.62190812720848,-14.34794611386207,147.69802103506973,0.07611290786124414,0.07611290786124414
NV,33,148.15151515151516,-13.289861218965084,148.7561059299667,0.6045907784515521,0.6045907784515521
IN,97,148.5979381443299,-13.24306769949365,148.80289944943814,0.20496130510824173,0.20496130510824173
KY,76,149.01315789473685,-12.780354062600233,149.26561308633157,0.25245519159471996,0.25245519159471996
AL,74,153.0810810810811,-8.786629473061945,153.25933767586986,0.17825659478876332,0.17825659478876332
FL,158,155.21518987341773,-6.766484669725848,155.27948247920594,0.06429260578821072,0.06429260578821072
OR,51,160.8235294117647,-1.1874825154968653,160.85848463343493,0.034955221670230685,0.034955221670230685
MI,99,161.31313131313132,-0.721888959313851,161.32407818961795,0.010946876486627843,0.010946876486627843
SC,50,161.54,-0.49121825321352813,161.55474889571826,0.014748895718270205,0.014748895718270205
TN,81,162.1851851851852,0.13668471683919092,162.182651865771,-0.0025333194141978765,0.0025333194141978765
MO,90,162.56666666666666,0.5121564248429943,162.5581235737748,-0.008543092891869719,0.008543092891869719
VA,74,164.4189189189189,2.325768314568771,164.37173546350056,-0.047183455418348785,0.047183455418348785
OH,116,164.81896551724137,2.737569105595921,164.78353625452772,-0.03542926271364877,0.03542926271364877
ME,28,166.42857142857142,4.159582769570239,166.20554991850204,-0.22302151006937265,0.22302151006937265
GA,84,170.20238095238096,8.013201026871805,170.0591681758036,-0.14321277657737141,0.14321277657737141
NH,22,170.63636363636363,8.041643203518092,170.08761035244987,-0.5487532839137543,0.5487532839137543
NM,28,173.46428571428572,10.837264359586413,172.8832315085182,-0.581054205767515,0.581054205767515
WA,68,175.5735294117647,13.235361129678918,175.28132827861072,-0.29220113315398066,0.29220113315398066
IL,137,176.8832116788321,14.676419162371719,176.72238631130352,-0.160825367528588,0.160825367528588
NC,89,184.1573033707865,21.744547992204513,183.7905151411363,-0.3667882296502114,0.3667882296502114
AZ,54,184.77777777777777,22.116936494714647,184.16290364364644,-0.6148741341313269,0.6148741341313269
NJ,55,184.8181818181818,22.16714947248975,184.21311662142153,-0.6050651967602789,0.6050651967602789
CA,226,187.641592920354,25.426722926641922,187.47269007557372,-0.16890284478026274,0.16890284478026274
PA,134,187.71641791044777,25.386040550893245,187.43200769982505,-0.284410210622724,0.284410210622724
VT,6,193.33333333333334,25.025699015749886,187.0716661646817,-6.261667168651655,6.261667168651655
CT,25,196.6,32.59659815169548,194.64256530062727,-1.957434699372726,1.957434699372726
NY,133,203.39097744360902,40.883531473549,202.9294986224808,-0.4614788211282246,0.4614788211282246
DE,6,219.66666666666666,46.088835816634266,208.13480296556605,-11.531863701100605,11.531863701100605
RI,10,220.5,50.82403899229097,212.87000614122277,-7.629993858777226,7.629993858777226
MA,53,223.22641509433961,59.49521031780621,221.54117746673802,-1.6852376276015946,1.6852376276015946
MD,30,242.83333333333334,76.93727885802942,238.98324600696122,-3.850087326372119,3.850087326372119
DC,5,349.6,144.2444408031805,306.29040795211233,-43.30959204788769,43.30959204788769
