state,estimate,se,lower_95,upper_95
HI,-29.499818873599814,8.49767575198093,-46.15526334748243,-12.844374399717193
OK,-25.48400602052985,3.7360429289239594,-32.80665016122081,-18.16136187983889
FL,-24.851836142086043,2.7708120068950834,-30.282627675600406,-19.42104460857168
UT,-22.816004193082282,5.473006532111476,-33.54309699602077,-12.08891139014379
LA,-22.727228927157384,3.7574500298485773,-30.091830985660597,-15.362626868654171
MS,-20.747188701669373,4.313908817903184,-29.202449984759614,-12.291927418579132
CO,-20.43353364458943,4.250007341984068,-28.763548034878205,-12.10351925430066
SC,-17.345477655950468,4.859932119061315,-26.870944609310648,-7.82001070259029
TX,-16.893803492341377,2.0761180847588636,-20.96299493846875,-12.824612046214003
SD,-16.694580412012073,5.006458779036687,-26.50723961892398,-6.881921205100166
NE,-16.052157992914648,4.046851092471344,-23.98398613415848,-8.120329851670814
ND,-15.344506264783712,5.224172544039558,-25.583884451101245,-5.10512807846618
AR,-15.037034577793905,4.313908817903184,-23.49229586088415,-6.581773294703664
AK,-11.87652193966874,8.49767575198093,-28.53196641355136,4.778922534213882
NV,-11.531319882699538,5.923420224601991,-23.14122352291944,0.07858375752036473
ID,-11.256725563702322,6.100211666501627,-23.21314043004551,0.6996893026408664
IN,-10.851957595927534,3.5224028053988885,-17.755867094509355,-3.948048097345712
KS,-10.829238580900196,3.6342380853750087,-17.952345228235213,-3.706131933565179
VA,-10.428762687445726,4.020143313028593,-18.308243580981767,-2.5492817939096835
WI,-10.335420490663344,3.3569577710817287,-16.91505772198353,-3.755783259343156
IA,-9.558061000018753,3.5224028053988885,-16.461970498600575,-2.6541515014369317
AL,-9.493909365130094,4.020143313028593,-17.373390258666134,-1.6144284715940511
KY,-9.467487175416206,3.968276676822404,-17.245309461988118,-1.6896648888442947
MT,-8.6187924236974,5.473006532111476,-19.345885226635893,2.1083003792410917
WY,-7.774619329205273,7.83490107324497,-23.131025432765416,7.581786774354868
OH,-7.723622281395,3.226413451967599,-14.047392647251495,-1.3998519155385063
MN,-7.474100164340517,3.3724616445255973,-14.084124987610688,-0.8640753410703468
WV,-6.409316194707162,5.611541800053348,-17.407938122811725,4.5893057333974
NJ,-4.936043615861721,4.641934610550439,-14.034235452540582,4.162148220817138
TN,-2.892827353447929,3.8469123620477434,-10.432775583061506,4.647120876165648
MI,-1.9310337251240333,3.487357502074323,-8.766254429189706,4.90418697894164
GA,0.6869022244754801,3.779229379477387,-6.720387359300198,8.094191808251159
OR,1.3727389706757753,4.8138762703456175,-8.062458519201634,10.807936460553186
MO,1.812185520279058,3.6539333321821545,-5.349523810797965,8.97389485135608
NC,5.478969948424156,3.673952296207423,-1.7219765521423929,12.679916448990706
WA,7.020992400488983,4.18886395101059,-1.189180943491773,15.231165744469738
AZ,8.209829267689646,4.6831879086482004,-0.9692190332608277,17.38887756864012
CT,8.618423270886094,6.743754446554721,-4.599335444361159,21.836181986133347
CA,9.463222931108916,2.3211578769699557,4.913753492247803,14.01269236997003
IL,11.924878517500174,2.9727411377545083,6.098305887501338,17.75145114749901
VT,12.832979908004651,12.382275580243444,-11.4362802292725,37.1022400452818
PA,13.236553564554265,3.0053469008958467,7.346073638798406,19.127033490310126
NM,15.391508103492129,6.39783502447437,2.851751455522365,27.931264751461892
NH,17.000615655532435,7.152625188264284,2.9814702865344387,31.019761024530432
ME,18.444385468067146,6.39783502447437,5.904628820097383,30.98414211603691
DE,21.264380597794826,12.382275580243444,-3.0048795394823244,45.53364073507198
NY,23.926044577346346,3.0164562532830272,18.013790320911614,29.838298833781078
RI,34.8089196631211,10.11271158801222,14.988004950617153,54.62983437562505
MA,38.60823682798229,4.725560990510578,29.346137286581556,47.870336369383025
MD,48.78873123083814,6.194757635391724,36.64700626547036,60.93045619620592
DC,118.42643762008555,13.235736733899742,92.48439362164206,144.36848161852905
