state,hospitals,mean_minutes,sd_minutes,se_minutes,lower_95,upper_95
ND,43,114.30232558139535,36.75435502781297,5.604986595238459,103.31655185472798,125.28809930806273
SD,47,114.53191489361703,22.23769915357192,3.243701797968505,108.17425936959876,120.8895704176353
NE,73,119,27.13648630329448,3.1760854878096705,112.77487244389305,125.22512755610695
HI,15,121.26666666666667,41.69526637515628,10.76567148577749,100.16595055454279,142.36738277879056
OK,86,123.82558139534883,36.75521311099248,3.963416559441698,116.05728493884311,131.59387785185456
KS,91,125.27472527472527,35.667310254027015,3.738950050595271,117.94638317555854,132.603067373892
MT,39,126.15384615384616,34.014345628014425,5.446654368302087,115.47840359197407,136.82928871571826
WY,18,129.05555555555554,35.815659115929954,8.441831811179954,112.50956520564283,145.60154590546824
IA,97,129.2577319587629,37.03525301163391,3.760360212011581,121.8874259432202,136.62803797430558
ID,31,132.25806451612902,31.495997356209656,5.65684811779654,121.1706422052478,143.34548682701023
UT,39,133.76923076923077,31.698797535272316,5.075869927164402,123.82052571198855,143.717935826473
AK,15,134.4,24.336333800659926,6.2836143678467025,122.08411583902047,146.71588416097956
MN,106,136.10377358490567,37.90236309890956,3.681402942790252,128.88822381703676,143.31932335277457
MS,64,136.109375,46.77474463972103,5.8468430799651285,124.64956256326835,147.56918743673165
LA,85,136.1529411764706,45.25628235324876,4.908733025030312,126.53182444741118,145.77405790553001
AR,64,136.359375,42.80645522730169,5.350806903412711,125.87179346931109,146.8469565306889
WI,107,137.6448598130841,32.97576363755906,3.1878873962573504,131.3966005164197,143.8931191097485
CO,66,139.6818181818182,29.78960019403214,3.6668463035616354,132.49479942683737,146.868836936799
WV,37,146.05405405405406,47.98376226851581,7.8884819240450135,130.59262948292584,161.51547862518228
TX,283,147.62190812720848,45.33854309484548,2.6950966403693015,142.33951871208467,152.9042975423323
NV,33,148.15151515151516,38.789593652906134,6.752401538571915,134.9168081359142,161.3862221671161
IN,97,148.5979381443299,36.63066218854273,3.7192802379441923,141.3081488779593,155.8877274107005
KY,76,149.01315789473685,35.42145994395776,4.063120113904888,141.04944247148327,156.97687331799042
AL,74,153.0810810810811,39.51339525141703,4.593338896728471,144.0781368434933,162.0840253186689
FL,158,155.21518987341773,35.764684173639104,2.845285501058304,149.63843029134344,160.79194945549202
OR,51,160.8235294117647,46.70276475000294,6.539695134847449,148.0057269474637,173.6413318760657
MI,99,161.31313131313132,53.051312562316696,5.331857527426436,150.8626905593755,171.76357206688715
SC,50,161.54,37.282818716247455,5.272586787201462,151.20572989708512,171.87427010291486
TN,81,162.1851851851852,43.209984700041005,4.801109411115667,152.77501073939848,171.5953596309719
MO,90,162.56666666666666,54.503901519972644,5.7452156722875625,151.30604394898305,173.82728938435028
VA,74,164.4189189189189,37.59299219041964,4.3700965754511225,155.85352963103472,172.9843082068031
OH,116,164.81896551724137,42.659745639782884,3.9608579465632485,157.0556839419774,172.58224709250533
ME,28,166.42857142857142,36.798176858450745,6.954201762002338,152.79833597504683,180.058806882096
GA,84,170.20238095238096,60.95223880998558,6.650434479137714,157.16752937327104,183.2372325314909
NH,22,170.63636363636363,51.48605493542745,10.976863794557444,149.12171059903105,192.1510166736962
NM,28,173.46428571428572,45.558657463113086,8.609776979526718,156.58912283441336,190.33944859415809
WA,68,175.5735294117647,46.439598445456454,5.631628517702549,164.5355375170677,186.6115213064617
IL,137,176.8832116788321,55.027141123244895,4.701285940090516,167.6686912362547,186.09773212140954
NC,89,184.1573033707865,39.06082054612353,4.140438697019981,176.04204352462733,192.27256321694568
AZ,54,184.77777777777777,47.50637163488651,6.464798335361124,172.10677304046996,197.44878251508558
NJ,55,184.8181818181818,33.1623899582661,4.471615749763081,176.05381494864616,193.58254868771746
CA,226,187.641592920354,54.257901381644096,3.609181913003472,180.5675963708672,194.71558946984078
PA,134,187.71641791044777,50.46574241004456,4.359576144155967,179.17164866790208,196.26118715299347
VT,6,193.33333333333334,36.1699691272562,14.766328062333049,164.39133033116056,222.27533633550613
CT,25,196.6,45.09526952279289,9.019053904558579,178.9226543470652,214.2773456529348
NY,133,203.39097744360902,55.06412715911278,4.774665362281055,194.03263333353814,212.7493215536799
DE,6,219.66666666666666,47.06874405236098,19.21573429365749,182.00382745109798,257.32950588223537
RI,10,220.5,49.16016906218104,15.54581043954358,190.0302115384946,250.9697884615054
MA,53,223.22641509433961,46.04790211100157,6.325165802621203,210.82909012120206,235.62374006747717
MD,30,242.83333333333334,58.896216922787936,10.752928853442818,221.7575927805854,263.9090738860813
DC,5,349.6,50.17270174108626,22.437914341578185,305.6216878905068,393.57831210949325
