variable,category,n,mean,sd,median
Hospital type,Acute care,2592,175.39891975308643,49.07533067289824,170
Hospital type,Critical access,1006,116.33101391650099,25.10881338926078,114
Ownership,Government,727,145.3713892709766,51.84143185070924,132
Ownership,Other,35,137.11428571428573,40.81866025741271,132
Ownership,Proprietary,547,149.55941499085924,40.191182743894316,142
Ownership,Voluntary nonprofit,2289,165.73612931411097,52.08995137391776,160
ED volume,High,524,192.95992366412213,47.69922812842676,190
ED volume,Low,1544,123.5071243523316,29.856688607242443,120
ED volume,Medium,858,170.53729603729604,36.24841857133579,169
ED volume,Very high,672,198.71428571428572,54.42337128990706,193.5
