_id,Year,HPI Percentile Ranking,Encounter Setting,Category,Category Description,Diagnosis Group,Residence,Count
1,2020,0-25 (Least Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,1100
2,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4684
3,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1739
4,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1975
5,2020,0-25 (Least Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,386972
6,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,28870
7,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,73722
8,2020,0-25 (Least Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,32992
9,2020,0-25 (Least Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2753
10,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,11225
11,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2766
12,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,7534
13,2020,0-25 (Least Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,269062
14,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,36414
15,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,45212
16,2020,0-25 (Least Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,66782
17,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,1029
18,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4640
19,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1513
20,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,2043
21,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,356342
22,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,29641
23,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,84497
24,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,26248
25,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2322
26,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,9490
27,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2245
28,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,7443
29,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,259272
30,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,34472
31,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,48896
32,2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,55954
33,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,669
34,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,3766
35,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1258
36,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1359
37,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,294930
38,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,25982
39,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,82640
40,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,19320
41,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,1689
42,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,8448
43,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,1706
44,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,5621
45,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,223797
46,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,28801
47,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,45568
48,2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,40414
49,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,878
50,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4109
51,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1371
52,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1902
53,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,249449
54,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,19198
55,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,73376
56,2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,12136
57,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2458
58,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,9611
59,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2097
60,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,8337
61,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,190731
62,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,22393
63,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,39524
64,2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,27093
65,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Homeless,2592
66,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Homeless,11508
67,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Homeless,3028
68,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Homeless,7098
69,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Not Homeless,310885
70,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Not Homeless,33413
71,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Not Homeless,41746
72,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Not Homeless,54983
73,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Homeless,878
74,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Homeless,2161
75,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Homeless,848
76,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Homeless,1270
77,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Not Homeless,176314
78,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Not Homeless,17944
79,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Not Homeless,51493
80,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Not Homeless,26763
81,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Homeless,75
82,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Homeless,1315
83,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Homeless,285
84,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Homeless,581
85,2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Not Homeless,20218
