HUC12,Name,RarAqSumSW,RarFish,RarAqAmph,RarAqRept
180702030804,East Etiwanda Creek-Santa Ana River,1.0,3,5,3
180101020605,Humboldt Bay,0.90566,8,4,1
180101020503,Luffenholtz Creek-Frontal Pacific Ocean,0.90566,8,4,1
180701060601,Santa Fe Flood Control Basin-San Gabriel River,0.849057,3,5,2
180101010404,Smith River,0.849057,7,4,1
180101080102,South Fork Ten Mile River,0.811321,5,5,1
180101020602,Freshwater Creek,0.792453,6,4,1
180701060205,Lower West Fork San Gabriel River,0.773585,3,4,2
180701020903,Adams Canyon-Santa Clara River,0.773585,3,2,3
180701040104,Cold Creek-Malibu Creek,0.773585,3,2,3
