OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
1,180201590400,Gilsizer Slough-Snake River,5,0.415094,2,0,2,1166747898.65234,226741.887792187
2,180600080503,Corralitos Canyon,4,0.339623,2,3,0,235531615.335938,110700.716745614
3,180400010703,Raynor Creek-Chowchilla River,2,0.150943,0,2,0,250458905.125,209016.532456319
4,180703041300,Mission Beach-Frontal Pacific Ocean,0,0,0,0,0,69133066.96875,167295.313548621
5,180902021201,Fortymile Wash,0,0,0,0,0,6926632.6953125,21538.5911655428
6,180101070401,Cooksie Creek-Frontal Pacific Ocean,3,0.245283,3,1,0,137810692.929688,84104.026181151
7,180101070208,North Fork Mattole River,3,0.245283,3,1,0,168644753.96875,64825.5767423121
8,180101051101,Salt River,5,0.509434,5,1,1,192071839.066406,65564.7760113963
9,180101051003,Price Creek-Eel River,5,0.584906,5,2,1,188915187.941406,78362.7787222208
10,180101020604,Little Salmon Creek-Salmon Creek,5,0.679245,4,4,1,83200487.5976562,54830.9799745648
11,180101020605,Humboldt Bay,5,0.90566,8,4,1,336055616.332031,135244.551264187
12,180101010501,Lake Earl,3,0.264151,2,2,0,135351444.742188,62519.9076541145
13,180101010403,Rowdy Creek,5,0.471698,3,4,0,154981560.039062,66559.491352096
14,180101080702,Virgin Creek-Frontal Pacific Ocean,5,0.54717,3,3,1,66502422.84375,66148.7746917307
15,180101060401,Sprout Creek,2,0.169811,3,0,0,106181362.195312,54813.0908975307
16,180101060305,Fish Creek-South Fork Eel River,4,0.396226,3,1,1,100634171.484375,44208.7779255911
17,180101060402,Redwood Creek,3,0.245283,3,1,0,115169925.503906,52232.9667880266
18,180101060403,Ohman Creek-South Fork Eel River,4,0.396226,3,1,1,234766126.996094,82019.7448053749
19,180101051002,Monument Creek-Eel River,5,0.471698,3,4,0,108652021.378906,50775.8999944348
20,180101050602,Lower Larabee Creek,5,0.471698,3,2,1,179853282.539062,71841.7697229136
21,180101020408,Mill Creek-Mad River,5,0.528302,4,2,1,140390181.011719,80332.0334422687
22,180101020601,Jacoby Creek,5,0.566038,6,3,0,91405736.3554688,56234.2585760721
23,180101020405,North Fork Mad River,5,0.528302,4,4,0,220722243.335938,73291.5542393272
24,180102091005,Mettah Creek-Klamath River,5,0.45283,4,3,0,160729164.613281,85582.5916515057
25,180102091004,Pecwan Creek,3,0.264151,2,2,0,126844339.488281,52935.4860558717
26,180101010503,Wilson Creek,4,0.339623,2,3,0,61660286.953125,43900.8235418322
27,180101010401,Hardscrabble Creek-Smith River,5,0.584906,5,4,0,129899450.757812,55030.9808466707
28,180101010307,Rock Creek,4,0.320755,3,2,0,74797420.484375,41125.3173554866
29,180101010305,Hurdygurdy Creek,5,0.509434,5,3,0,139359732.046875,75837.7185888576
30,180101080301,South Fork Big River,5,0.415094,2,2,1,235823206.710938,87858.8093209294
31,180101030404,Long Valley Creek,5,0.471698,3,2,1,116559175.617188,59234.5615000597
32,180101080202,Upper Noyo River,5,0.471698,3,2,1,118233435.921875,53970.0362476497
33,180101060301,Hollow Tree Creek,5,0.471698,3,4,0,183294168.933594,71913.0900941569
34,180101050405,Pipe Creek-Eel River,2,0.169811,3,0,0,174407046.273438,79961.3677294685
35,180101050903,Baker Creek-Van Duzen River,4,0.396226,3,1,1,180272483.980469,75550.1729225701
36,180101020401,Bug Creek-Mad River,2,0.188679,2,1,0,229782836.71875,81530.8628740968
37,180102111201,Willow Creek,5,0.603774,4,3,1,197063196.585938,74656.786394368
38,180102111209,Deerhorn Creek-Trinity River,4,0.320755,3,2,0,122220114.175781,56135.1537322563
39,180102111204,Tish Tang a Tang Creek,3,0.207547,1,2,0,136351918.324219,62379.0727520633
40,180102090802,Boise Creek-Klamath River,5,0.735849,5,4,1,225113790.660156,85703.9924202342
41,180102090701,Rock Creek,4,0.320755,3,2,0,153705206.734375,60236.7651272014
42,180102090605,Swillup Creek-Klamath River,5,0.566038,6,1,1,109920971.042969,46569.2087778882
43,180102090401,Tenmile Creek,1,0.113208,2,0,0,73306100.1328125,38978.967221269
44,171003110303,Lower East Fork Illinois River,1,0.075472,0,1,0,1684036.6640625,10074.31852411
45,180101090105,Buckeye Creek,3,0.283019,1,3,0,171571426.808594,71320.2549720708
46,180101100101,Burright Creek-East Fork Russian River,2,0.150943,0,0,1,201548168.316406,72709.600008293
47,180101040507,Goforth Creek-Middle Fork Eel River,2,0.169811,3,0,0,71215078.0976562,40832.1402971278
48,180101030302,Lower Tomki Creek,3,0.245283,3,1,0,138403729.003906,69703.9938850651
49,180101050201,Woodman Creek,2,0.188679,2,1,0,110114898.988281,47705.0432967806
50,180101050206,Big Bend Creek-Eel River,3,0.245283,3,1,0,145134885.726562,66181.7662647943
51,180101050106,Casoose Creek,0,0,0,0,0,110098133.027344,49537.639184142
52,180101020202,Barry Creek-Mad River,3,0.226415,0,1,1,193894622.210938,63623.5353231823
53,180102120301,Salt Creek,5,0.45283,4,1,1,257857938.421875,97959.5472757559
54,180102100402,Crapo Creek-Salmon River,4,0.301887,4,1,0,114728576.691406,61554.4211298205
55,180102110902,Upper North Fork Trinity River,4,0.358491,5,1,0,166678061.4375,72795.0958415587
56,180102100403,Butler Creek-Salmon River,4,0.301887,4,1,0,168185806.15625,67290.5747011513
57,180102090601,Oak Flat Creek-Klamath River,5,0.490566,6,2,0,152453331.789062,56317.1542181462
58,180102061101,Grider Creek,4,0.396226,3,3,0,200613371.882812,77534.5603361442
59,180102061103,Bittenbender Creek-Klamath River,4,0.396226,3,3,0,258067562.496094,101472.043496139
60,171003090107,Carberry Creek,0,0,0,0,0,1423114.3359375,6451.47368918138
61,180500050400,Abbotts Lagoon-Frontal Pacific Ocean,2,0.132075,1,1,0,70255732.171875,103740.169223221
62,180500050304,Tomales Bay,5,0.54717,3,3,1,194700933,93095.1044953467
63,180500050303,Estero De San Antonio,4,0.358491,1,2,1,217873922.175781,93858.9765811601
64,180101100802,Ward Creek-Austin Creek,5,0.54717,3,3,1,161248130.070312,72475.4324257306
65,180101100504,Lake Sonoma-Dry Creek,5,0.433962,1,3,1,185732440.929688,81542.1153911527
66,180101100503,Warm Springs Creek,5,0.45283,0,4,1,145908418.464844,70363.1005517512
67,180101100601,Gill Creek-Russian River,4,0.339623,2,1,1,173432870.976562,77516.083281085
68,180101100507,West Slough-Dry Creek,5,0.45283,4,1,1,179968884.832031,88942.4579994672
69,180101100602,Sausal Creek-Russian River,5,0.471698,3,2,1,197259105.382812,70234.2573536136
70,180101100406,Dooley Creek,2,0.188679,2,1,0,67337100.9960938,46311.9281160097
71,180201160203,Clover Creek,1,0.056604,1,0,0,119167307.734375,56081.4302754765
72,180101040103,Baldy Creek-Black Butte River,4,0.339623,2,1,1,157218024.410156,54229.8407024675
73,180101040204,Red Chert Creek-Middle Fork Eel River,4,0.396226,3,1,1,102688223.792969,50157.5721984965
74,180201150301,Headwaters Grindstone Creek,0,0,0,0,0,169112047.253906,64517.9684037899
75,180101040201,Balm of Gilead Creek,3,0.245283,3,1,0,95077026.9023438,46013.380090716
76,180201520101,South Fork Beegum Creek,2,0.188679,2,1,0,151673855.183594,58145.0591031324
77,180201520103,Lower Beegum Creek,2,0.188679,2,1,0,112593580.0625,65625.202181927
78,180201520501,Upper Cold Fork,1,0.056604,1,0,0,176221906.179688,83373.2157794149
79,180102111101,Conner Creek Trinity River,5,0.584906,5,2,1,271363549.0625,90190.2624518503
80,180102110602,Lower Browns Creek,5,0.509434,5,1,1,151211873.851562,62136.6043072878
81,180102110801,Upper Canyon Creek,5,0.433962,5,2,0,130302205.589844,60742.5996539768
82,180102100104,Garden Gulch-South Fork Salmon River,4,0.377358,4,2,0,169962078.3125,76454.860885573
83,180102080204,Sugar Creek-Scott River,5,0.471698,3,2,1,179355841.101562,77536.6178882889
84,180102080602,Boulder Creek-Scott River,3,0.245283,3,1,0,93085421.3007812,43561.1862390339
85,180102080203,French Creek,4,0.339623,2,3,0,153208335.4375,59430.4310316311
86,180102080604,Tompkins Creek-Scott River,3,0.245283,3,1,0,128099877.929688,58278.7699849176
87,180102061002,Little Humbug Creek-Klamath River,4,0.358491,5,1,0,90165955.0546875,48184.6042321936
88,171003090103,Dutch Creek-Elliott Creek,1,0.075472,0,1,0,119917319.15625,52651.6788857368
89,180500060204,San Pedro Creek-Frontal Pacific Ocean,4,0.339623,2,1,1,129228842.144531,93194.0347873004
90,180500020607,Miller Creek-Frontal San Pablo Bay Estuaries,5,0.490566,2,3,1,120958136.65625,100568.726891134
91,180500020601,Petaluma River,5,0.566038,2,4,1,188846538.042969,65825.9943772756
92,180500020605,Adobe Creek-Frontal San Pablo Bay Estuaries,5,0.641509,2,5,1,130103005.109375,108264.553528939
93,180101100604,Maacama Creek,5,0.603774,4,3,1,197086472.328125,75905.3375054707
94,180201620303,Big Canyon Creek-Putah Creek,2,0.150943,0,2,0,139208810.933594,83629.1791279723
95,180201160301,Thurston Lake,2,0.150943,0,0,1,77204744.734375,48243.5905466095
96,180201160402,Twin Valley Creek-North Fork Cache Creek,3,0.226415,0,1,1,172987301.203125,71150.3323842902
97,180201150201,Middle Fork Stony Creek,1,0.075472,0,1,0,138557524.488281,56123.8404546891
98,180201150306,Lower Grindstone Creek,3,0.226415,0,1,1,155633572.871094,76100.0597138618
99,180201520604,Middle Dry Creek,0,0,0,0,0,110932838.308594,77854.5702775078
100,180102110303,Middle East Fork Trinity River,2,0.150943,0,2,0,90920576.8945312,42238.4347609284
101,180102080302,McAdam Creek,1,0.113208,2,0,0,125118209.027344,59985.447155514
102,180102060801,Humbug Creek,2,0.169811,3,0,0,172234767.433594,58773.8992259382
103,180102070503,Bunton Hollow Creek-Shasta River,4,0.320755,3,0,1,191961673.921875,81163.4852541926
104,180500060201,Arroyo Leon,2,0.132075,1,1,0,118443353.054688,63948.311539825
105,180500040902,Cordileras Creek-Frontal San Francisco Bay Estuaries,5,0.490566,2,3,1,180972491.828125,92907.5489631511
106,180500021001,Angel Island-San Francisco Bay Estuaries,5,0.415094,2,2,1,99145238.6171875,406713.908652664
107,180500020401,American Canyon Creek-Frontal San Pablo Bay Estuaries,4,0.358491,1,2,1,126857858.746094,94904.4152211217
108,180500020702,Pinole Creek-Frontal San Pablo Bay Estuaries,5,0.471698,3,2,1,234931451.621094,177468.301809984
