**Characteristic**,"**Overall**  
N = 16,503","**Normal weight**  
N = 6,186","**Underweight**  
N = 355","**Overweight**  
N = 5,747","**Obesity**  
N = 4,215"
"__Age, years__",48.0 (19.3),45.6 (20.5),48.3 (22.8),50.3 (19.1),48.4 (16.9)
__Sex__,NA,NA,NA,NA,NA
Female,"8,758 (53.1%)","3,240 (52.4%)",237 (66.8%),"2,647 (46.1%)","2,634 (62.5%)"
Male,"7,745 (46.9%)","2,946 (47.6%)",118 (33.2%),"3,100 (53.9%)","1,581 (37.5%)"
__Race__,NA,NA,NA,NA,NA
White,"11,184 (67.8%)","4,250 (68.7%)",233 (65.6%),"4,063 (70.7%)","2,638 (62.6%)"
Black,"4,776 (28.9%)","1,679 (27.1%)",109 (30.7%),"1,532 (26.7%)","1,456 (34.5%)"
Other,543 (3.3%),257 (4.2%),13 (3.7%),152 (2.6%),121 (2.9%)
__Smoking status__,NA,NA,NA,NA,NA
Never,"8,128 (49.3%)","2,983 (48.2%)",160 (45.1%),"2,767 (48.1%)","2,218 (52.6%)"
Former,"4,075 (24.7%)","1,301 (21.0%)",44 (12.4%),"1,596 (27.8%)","1,134 (26.9%)"
Current,"4,300 (26.1%)","1,902 (30.7%)",151 (42.5%),"1,384 (24.1%)",863 (20.5%)
__Body mass index__,27.1 (5.8),22.3 (1.7),17.4 (1.0),27.2 (1.4),34.8 (4.9)
"__Follow-up, years__",21.9 (9.0),22.3 (9.1),18.9 (10.9),21.5 (9.0),21.9 (8.4)
__All-cause death__,"7,086 (42.9%)","2,368 (38.3%)",173 (48.7%),"2,608 (45.4%)","1,937 (46.0%)"
